CMT Screening,Milk Cloting,Number of parity,Skin irritation,Lactation stage,In appetence,Udder is swollen ,Fever ,Depression,Milk Watery,Reduction in milk production,Shock ,Redness of milk,Lethargy,previous occurance,Mastits disease
1,1,3rd,0,early ,1,1,1,0,0,0,0,1,0,0,presence
1,0,5th,1,mid,1,1,0,1,1,1,0,1,0,1,presence
1,1,4th,0,mid,1,1,1,0,1,1,1,0,1,1,presence
1,1,1st,0,late,1,1,0,1,1,0,0,1,1,1,presence
1,1,3rd,0,mid,0,0,1,1,0,1,1,1,1,0,presence
1,0,5th,1,early ,1,1,0,0,1,1,0,1,0,1,presence
1,1,2nd,0,late,1,0,1,0,1,0,1,1,1,1,presence
1,1,6th,0,mid,1,1,0,1,0,1,0,0,1,1,presence
1,1,2nd,0,early ,1,1,1,1,1,1,1,1,0,1,presence
1,0,6th,0,late,1,0,1,0,1,1,0,1,1,0,presence
1,1,4th,1,early ,1,1,1,0,1,1,1,1,1,1,presence
1,1,4th,0,early ,0,1,1,1,0,1,1,0,1,1,presence
1,0,5th,0,late,1,1,0,0,1,1,1,1,1,0,presence
1,1,3rd,1,late,0,1,1,1,1,1,1,1,1,1,presence
1,1,5th,0,early ,1,1,1,0,1,1,1,1,1,0,presence
0,0,3rd,1,early ,1,1,1,1,0,1,1,1,1,1,presence
1,1,4th,0,early ,1,1,0,0,1,1,1,0,0,1,presence
1,1,6th,0,mid,1,1,1,1,1,1,1,1,1,1,presence
1,0,5th,0,late,1,0,1,1,1,1,0,1,1,0,presence
1,1,6th,0,early ,1,1,1,1,1,0,1,1,1,1,presence
1,1,5th,1,late,1,1,1,0,0,1,0,1,1,1,presence
1,0,3rd,0,late,1,1,0,1,1,1,1,1,1,0,presence
1,1,4th,0,late,1,1,1,1,1,1,1,1,1,1,presence
1,0,5th,0,mid,1,1,1,0,1,0,0,1,1,1,presence
1,1,4th,0,early ,1,1,1,1,1,1,1,1,1,0,presence
1,0,4th,1,late,1,0,1,0,1,1,1,0,1,0,presence
1,1,5th,0,early ,1,1,1,1,1,0,0,1,1,1,presence
1,1,2nd,0,early ,1,0,1,0,1,1,0,1,1,1,presence
1,1,5th,0,late,1,1,1,1,1,0,1,1,1,1,presence
1,0,4th,1,late,0,1,1,1,1,1,0,1,1,0,presence
1,1,5th,0,early ,1,0,1,0,1,1,1,1,1,0,presence
1,0,5th,0,late,1,1,1,1,1,0,1,1,1,1,presence
0,1,3rd,1,mid,1,0,1,0,0,1,1,0,1,0,presence
1,0,1st,0,early ,1,1,0,1,1,1,0,1,0,1,presence
1,1,3rd,0,late,1,1,1,0,1,0,1,1,1,0,presence
1,0,6th,0,early ,1,1,1,1,1,1,0,1,1,1,presence
1,1,2nd,0,early ,1,0,1,0,1,1,1,1,1,0,presence
1,0,4th,1,late,0,1,1,0,1,1,1,0,1,1,presence
1,1,4th,0,late,1,0,1,1,0,0,1,1,1,1,presence
1,1,6th,0,early ,1,1,0,1,1,1,0,1,0,1,presence
1,1,3rd,0,mid,1,1,1,0,1,1,1,1,1,0,presence
1,1,6th,0,mid,1,1,1,1,1,1,0,1,1,1,presence
1,1,5th,1,late,0,0,1,1,1,0,1,1,1,1,presence
1,0,1st,0,mid,1,1,1,0,1,1,0,0,1,0,presence
1,1,6th,0,early ,1,1,1,0,1,1,1,1,1,1,presence
0,0,6th,0,late,1,1,1,1,0,1,1,1,1,1,presence
1,1,1st,1,mid,1,1,0,1,1,0,0,1,0,0,presence
1,0,5th,0,early ,1,1,1,0,1,1,1,1,1,1,presence
1,1,3rd,0,late,1,0,1,1,1,1,0,0,1,0,presence
1,1,2nd,0,early ,1,1,1,1,1,1,1,1,1,0,presence
1,0,3rd,1,early ,1,1,1,0,1,0,0,1,1,1,presence
1,0,3rd,0,late,1,1,1,1,0,1,1,1,1,1,presence
1,1,5th,0,late,1,1,0,1,1,1,0,1,0,0,presence
1,0,4th,0,early ,1,1,1,0,1,1,1,0,1,1,presence
1,1,1st,0,early ,1,0,1,0,1,0,1,1,1,0,presence
1,1,3rd,0,early ,1,0,1,1,1,1,0,1,1,1,presence
1,0,5th,0,mid,1,1,1,1,1,1,1,1,1,1,presence
0,1,2nd,0,late,1,1,1,1,0,1,0,1,1,0,presence
1,0,6th,1,early ,1,1,0,0,1,0,1,0,0,1,presence
1,0,2nd,0,late,0,1,1,0,1,1,1,1,1,1,presence
1,1,6th,0,late,1,1,1,1,1,1,0,1,1,0,presence
1,0,4th,0,late,1,0,1,0,1,1,1,1,1,0,presence
1,1,4th,0,mid,1,1,1,1,1,0,1,1,1,1,presence
1,1,5th,1,early ,1,1,1,0,0,1,0,1,1,1,presence
1,1,3rd,0,late,1,1,0,1,1,1,1,0,0,1,presence
1,0,5th,0,early ,1,0,1,0,1,1,0,1,1,0,presence
1,0,3rd,0,early ,1,1,1,1,1,1,0,1,1,1,presence
1,1,4th,0,late,1,1,1,1,1,0,0,1,1,0,presence
0,1,6th,1,late,0,1,1,0,0,1,0,1,1,1,presence
1,0,5th,0,early ,1,0,0,1,1,1,1,0,0,0,presence
1,1,6th,0,late,1,1,1,0,1,1,0,1,1,1,presence
1,1,5th,0,mid,1,0,1,1,1,1,1,1,1,0,presence
1,0,3rd,0,early ,1,1,1,1,0,0,0,1,1,1,presence
1,1,4th,0,late,1,0,0,1,1,1,1,1,0,0,presence
1,0,5th,1,early ,1,1,1,0,1,1,0,1,1,1,presence
1,1,4th,0,early ,1,0,1,0,1,1,1,0,1,0,presence
1,0,4th,0,late,0,1,1,1,1,1,1,1,1,1,presence
1,1,5th,0,late,1,1,1,1,0,0,1,1,1,0,presence
1,1,2nd,0,early ,1,1,0,0,1,1,1,1,0,1,presence
1,1,5th,0,late,1,0,1,0,1,1,0,1,1,0,presence
1,0,4th,1,early ,1,1,1,1,1,1,1,0,1,1,presence
1,0,5th,0,mid,1,0,1,1,1,1,0,1,1,0,presence
1,1,5th,0,mid,1,1,1,1,1,0,0,1,1,1,presence
1,0,3rd,0,late,1,0,1,1,1,1,1,1,1,1,presence
1,1,1st,0,mid,1,1,1,0,1,1,0,1,1,1,presence
1,0,3rd,1,early ,1,0,1,1,0,1,1,1,1,0,presence
1,0,6th,0,late,1,1,0,0,1,0,1,1,0,1,presence
1,1,2nd,0,mid,1,1,1,1,1,1,1,1,1,1,presence
1,1,4th,0,early ,1,0,1,1,1,1,1,0,1,0,presence
1,0,4th,0,late,0,1,1,0,1,1,0,1,1,0,presence
1,1,6th,0,early ,1,1,1,1,1,1,1,1,1,1,presence
0,1,3rd,1,early ,1,0,1,1,0,1,0,1,1,0,presence
1,1,6th,0,late,1,1,0,1,1,1,1,1,0,0,presence
1,1,5th,0,late,1,1,1,1,1,1,1,1,1,1,presence
